# 区域散点：30N/100E、半径 25° 的球冠内 900 点
# 用途: 演示区域数据的正确处理方式
# 建议: 积分元规则 = delaunay（千万不要用 voronoi）
# 注意: 分析后请看「覆盖率」与警告 —— 区域数据无法给出全球系数
lon,lat,value
108.117813,35.73305584,-0.5429456357
84.98150593,18.87606979,-0.6179028531
87.83296401,14.25907692,-0.7395977237
98.4413687,26.0296206,-1.090603656
89.87871314,34.22377578,-0.6089924631
124.5355037,44.30469425,-0.9285357513
107.5549745,31.00640194,-0.6943232611
94.07771742,37.47152328,-0.4283162583
87.72447756,52.60543074,-0.2454756559
118.7757968,42.6791561,-0.7346295707
85.71519436,21.99495423,-0.6458695239
114.1516685,43.82029231,-0.7701709348
87.98022394,48.08818394,-0.1295263952
93.93147564,42.09352273,-0.2235729323
90.40759377,26.31074525,-0.8044129699
102.7687773,7.997572688,-1.176304207
82.7000224,17.07013133,-0.5124828829
93.34854384,13.26907233,-0.9973412429
74.37156207,37.76378604,-0.4588429947
79.72399248,37.68130711,-0.5417058228
73.79490975,43.40229385,-0.2863706045
88.27554187,35.39635128,-0.5922813726
121.5350411,31.60493496,-0.2090802091
120.0081287,33.23164421,-0.2967557921
84.65538947,24.29105198,-0.5987257106
93.90750624,11.68844447,-0.9854299575
96.82612776,41.77831385,-0.2526641147
111.9415943,50.48483927,-1.010779354
113.1537012,10.23673001,-1.020848164
91.89092998,35.75289149,-0.5291866995
105.4495459,13.74818366,-1.191975734
112.405041,38.13521746,-0.4773899342
107.0723764,26.47742744,-0.9014272531
91.00269725,52.70361013,-0.2275251614
81.08005062,30.82729486,-0.5875796715
90.16788039,34.71326646,-0.6033818904
122.9780364,26.67255642,-0.1066708886
87.37159307,33.00707947,-0.6329873603
101.2909438,53.69850745,-0.5563624353
113.3634185,31.53632896,-0.4852298197
96.41268407,26.77479631,-1.026045414
89.82465098,23.5528567,-0.8193263707
104.146734,15.87995688,-1.218458323
93.77092445,46.34253142,-0.1299200627
117.5567301,12.64303423,-0.6674185885
122.8863145,25.12737752,-0.08000365272
116.6281211,33.08354469,-0.3756254573
96.28335797,29.88404316,-0.8673812261
89.09345079,33.56982745,-0.6281491287
71.38441201,38.20332557,-0.2871415736
87.8194957,17.30199148,-0.7639570596
106.8833265,50.07213877,-0.7980224564
103.2772817,24.97847451,-1.101953059
104.694323,32.19205645,-0.7048615015
124.4985677,22.98849608,0.02580602907
104.9101238,48.73465565,-0.6443254726
85.73960693,24.48013311,-0.650823146
