lon,lat,weight_sr,area_m2
106.57250210,29.03249930,1.846109421379e-10,7510.088453
106.10500340,29.06416700,1.845542790548e-10,7507.783363
106.38249970,29.12999920,1.844363049544e-10,7502.984103
106.37500000,29.19916730,1.843120904753e-10,7497.930981
106.38083650,29.19916730,1.843120904753e-10,7497.930981
106.38666530,29.19916730,1.843120904753e-10,7497.930981
106.36499790,29.21583370,1.842821202084e-10,7496.711772
106.36583710,29.21750070,1.842791216766e-10,7496.589789
106.36583710,29.21833420,1.842776223523e-10,7496.528796
106.36666870,29.21916580,1.842761264063e-10,7496.467940
106.35666660,29.22083280,1.842731275627e-10,7496.345945
106.36250310,29.22416690,1.842671292277e-10,7496.101929
106.36416630,29.22583390,1.842641299159e-10,7495.979915
106.36833190,29.23416710,1.842491342581e-10,7495.369882
106.37000270,29.23583410,1.842461340109e-10,7495.247831
106.37416840,29.23583410,1.842461340109e-10,7495.247831
106.37583160,29.23583410,1.842461340109e-10,7495.247831
106.37666320,29.23583410,1.842461340109e-10,7495.247831
106.37583160,29.23666570,1.842446372479e-10,7495.186941
106.25749970,29.23999980,1.842386359496e-10,7494.942805
106.25833130,29.23999980,1.842386359496e-10,7494.942805
106.38333130,29.23999980,1.842386359496e-10,7494.942805
106.38416290,29.23999980,1.842386359496e-10,7494.942805
106.25666810,29.24083330,1.842371355738e-10,7494.881769
106.25749970,29.24083330,1.842371355738e-10,7494.881769
106.25833130,29.24083330,1.842371355738e-10,7494.881769
106.25916290,29.24083330,1.842371355738e-10,7494.881769
106.38583370,29.24083330,1.842371355738e-10,7494.881769
107.87333680,29.24083330,1.842371355738e-10,7494.881769
106.25666810,29.24166680,1.842356351570e-10,7494.820731
106.25749970,29.24166680,1.842356351570e-10,7494.820731
106.25833130,29.24166680,1.842356351570e-10,7494.820731
106.25916290,29.24166680,1.842356351570e-10,7494.820731
106.26000210,29.24166680,1.842356351570e-10,7494.820731
106.26083370,29.24166680,1.842356351570e-10,7494.820731
106.26166530,29.24166680,1.842356351570e-10,7494.820731
106.26249690,29.24166680,1.842356351570e-10,7494.820731
106.25666810,29.24250030,1.842341347023e-10,7494.759691
106.25749970,29.24250030,1.842341347023e-10,7494.759691
106.25833130,29.24250030,1.842341347023e-10,7494.759691
106.25916290,29.24250030,1.842341347023e-10,7494.759691
106.26000210,29.24250030,1.842341347023e-10,7494.759691
106.26083370,29.24250030,1.842341347023e-10,7494.759691
106.26166530,29.24250030,1.842341347023e-10,7494.759691
106.26249690,29.24250030,1.842341347023e-10,7494.759691
106.26333620,29.24250030,1.842341347023e-10,7494.759691
107.87166600,29.24250030,1.842341347023e-10,7494.759691
107.87249760,29.24250030,1.842341347023e-10,7494.759691
106.25583650,29.24333380,1.842326342081e-10,7494.698650
106.25666810,29.24333380,1.842326342081e-10,7494.698650
106.25749970,29.24333380,1.842326342081e-10,7494.698650
106.25833130,29.24333380,1.842326342081e-10,7494.698650
106.25916290,29.24333380,1.842326342081e-10,7494.698650
106.26000210,29.24333380,1.842326342081e-10,7494.698650
106.26083370,29.24333380,1.842326342081e-10,7494.698650
106.26166530,29.24333380,1.842326342081e-10,7494.698650
106.26249690,29.24333380,1.842326342081e-10,7494.698650
106.26333620,29.24333380,1.842326342081e-10,7494.698650
